time,o,h,l,c,vol
2017-09-11 00:00:00,4325.8,4344.0,4012.6,4239.5,239857224.0
2017-09-12 00:00:00,4239.5,4380.0,4105.4,4207.0,187757199.0
2017-09-13 00:00:00,4207.0,4380.0,4055.0,4148.8,223164080.0
2017-09-14 00:00:00,4148.8,4152.1,3722.9,3856.6,383908452.0
2017-09-15 00:00:00,3856.6,3920.7,3200.1,3222.9,590184470.0
2017-09-16 00:00:00,3222.9,3841.1,2939.7,3706.1,792609515.0
2017-09-17 00:00:00,3706.1,3900.0,3531.7,3697.0,325600157.0
2017-09-18 00:00:00,3697.0,3810.0,3470.8,3687.1,238266454.0
2017-09-19 00:00:00,3687.1,4149.0,3687.0,4110.2,328976767.0
2017-09-20 00:00:00,4110.2,4130.0,3838.4,3883.8,352115516.0
2017-09-21 00:00:00,3883.8,4060.0,3825.0,3867.1,263081252.0
2017-09-22 00:00:00,3867.1,3903.5,3571.4,3611.0,370202112.0
2017-09-23 00:00:00,3611.0,3765.0,3515.0,3603.5,330019159.0
2017-09-24 00:00:00,3603.5,3826.5,3560.0,3778.9,221180063.0
2017-09-25 00:00:00,3778.9,3781.9,3595.5,3660.4,187902872.0
2017-09-26 00:00:00,3660.4,3980.0,3656.0,3925.5,271819358.0
2017-09-27 00:00:00,3925.5,3981.3,3850.0,3874.0,225261474.0
2017-09-28 00:00:00,3874.0,4220.0,3866.5,4202.5,308069192.0
2017-09-29 00:00:00,4202.5,4276.7,4125.0,4187.9,310866631.0
2017-09-30 00:00:00,4187.9,4240.0,4031.1,4164.8,394154232.0
2017-10-01 00:00:00,4164.8,4355.7,4155.0,4327.3,281256398.0
2017-10-02 00:00:00,4327.3,4384.1,4251.1,4382.8,260400287.0
2017-10-03 00:00:00,4382.8,4458.8,4355.5,4388.0,322064731.0
2017-10-04 00:00:00,4388.0,4435.0,4224.1,4318.3,349047436.0
2017-10-05 00:00:00,4318.3,4339.0,4162.0,4213.3,251445083.0
2017-10-06 00:00:00,4213.3,4377.5,4134.8,4311.4,319137500.0
2017-10-07 00:00:00,4311.4,4430.0,4291.7,4372.1,252070113.0
2017-10-08 00:00:00,4372.1,4484.0,4307.0,4445.3,175049890.0
2017-10-09 00:00:00,4445.3,4619.6,4429.5,4591.0,297011953.0
2017-10-10 00:00:00,4591.0,4914.5,4546.4,4798.8,576352442.0
2017-10-11 00:00:00,4798.8,4943.7,4698.6,4771.7,525518662.0
2017-10-12 00:00:00,4771.7,4887.0,4706.0,4822.0,368758715.0
2017-10-13 00:00:00,4822.0,5467.5,4800.6,5463.6,883212184.0
2017-10-14 00:00:00,5463.6,5980.0,5394.9,5667.3,1336720748.0
2017-10-15 01:00:00,5667.3,5890.0,5588.7,5872.1,590927424.0
2017-10-16 00:00:00,5872.1,5904.6,5405.0,5711.1,782169799.0
2017-10-17 00:00:00,5711.1,5876.2,5531.1,5795.0,512256122.0
2017-10-18 00:00:00,5795.0,5819.9,5510.0,5600.0,568041073.0
2017-10-19 00:00:00,5600.0,5647.9,5100.0,5590.8,1067907994.0
2017-10-20 00:00:00,5590.8,5757.9,5527.0,5700.8,655240545.0
2017-10-21 00:00:00,5700.8,6168.9,5602.0,6017.5,912558192.0
2017-10-22 00:00:00,6017.5,6220.0,5875.0,6018.7,854248299.0
2017-10-23 00:00:00,6018.7,6080.2,5720.0,5986.0,847520369.0
2017-10-24 00:00:00,5986.0,6095.2,5638.7,5853.9,1013064819.0
2017-10-25 00:00:00,5853.9,5853.9,5454.0,5517.4,950744064.0
2017-10-26 00:00:00,5517.4,5758.9,5366.0,5732.0,710909859.0
2017-10-27 00:00:00,5732.0,6008.0,5669.6,5888.4,773138211.0
2017-10-28 00:00:00,5888.4,6013.0,5678.0,5769.3,632848491.0
2017-10-29 00:00:00,5769.3,5878.0,5652.7,5727.1,444659626.0
2017-10-30 00:00:00,5727.1,6366.0,5687.5,6159.3,756109936.0
2017-10-31 00:00:00,6159.3,6221.8,6010.8,6134.9,579186740.0
2017-11-01 00:00:00,6134.9,6489.0,6088.4,6440.1,757390412.0
2017-11-02 00:00:00,6440.1,6750.0,6360.0,6749.5,1002702139.0
2017-11-03 00:00:00,6749.5,7437.7,6700.3,7025.8,1947637864.0
2017-11-04 00:00:00,7025.8,7495.0,6920.0,7146.5,1321777619.0
2017-11-05 00:00:00,7146.5,7596.1,6983.6,7393.9,1077283262.0
2017-11-06 00:00:00,7393.9,7621.7,7280.5,7378.3,1029792323.0
2017-11-07 00:00:00,7378.3,7436.0,6900.0,6960.0,1477643661.0
2017-11-08 00:00:00,6960.0,7215.5,6957.0,7121.3,1060689403.0
2017-11-09 00:00:00,7121.3,7950.0,7013.0,7465.0,1939100851.0
2017-11-10 00:00:00,7465.0,7490.2,7030.0,7150.5,1021866714.0
2017-11-11 00:00:00,7150.5,7362.5,6431.0,6564.0,1784422368.0
2017-11-12 00:00:00,6564.0,6818.0,6220.5,6345.5,1335894178.0
2017-11-13 00:00:00,6345.5,6480.0,5464.0,5846.5,2217483525.0
2017-11-14 00:00:00,5846.5,6720.0,5800.5,6558.0,1439111574.0
2017-11-15 00:00:00,6558.0,6777.0,6410.0,6632.5,783289296.0
2017-11-16 00:00:00,6632.5,7367.0,6624.5,7310.5,1271137892.0
2017-11-17 00:00:00,7310.5,8061.0,7131.0,7867.0,1352874206.0
2017-11-18 00:00:00,7867.0,8059.0,7550.0,7674.0,1575977218.0
2017-11-19 00:00:00,7674.0,7893.5,7425.0,7805.5,857056815.0
2017-11-20 00:00:00,7805.5,8152.5,7680.0,8062.0,800402418.0
2017-11-21 00:00:00,8062.0,8305.0,7929.5,8243.0,863222728.0
2017-11-22 00:00:00,8243.0,8393.5,7407.5,8098.5,1670787515.0
2017-11-23 00:00:00,8098.5,8319.0,8050.5,8219.0,853748162.0
2017-11-24 00:00:00,8219.0,8275.5,7975.5,7988.5,682535318.0
2017-11-25 00:00:00,7988.5,8386.5,7832.0,8207.5,976560999.0
2017-11-26 00:00:00,8207.5,8787.0,8140.0,8760.0,900440645.0
2017-11-27 00:00:00,8760.0,9586.0,8734.5,9339.0,1807968585.0
2017-11-28 00:00:00,9339.0,9796.0,9339.0,9751.5,1572797374.0
2017-11-29 00:00:00,9751.5,9992.5,9607.5,9938.0,1236953894.0
2017-11-30 00:00:00,9938.0,11489.0,8830.0,9869.5,3490469446.0
2017-12-01 00:00:00,9869.5,10750.5,8938.5,9960.0,2291590521.0
2017-12-02 00:00:00,9960.0,10988.0,9347.5,10879.5,1948017516.0
2017-12-03 00:00:00,10879.5,11262.5,10676.5,10910.5,1389465247.0
2017-12-04 00:00:00,10910.5,11896.0,10402.0,11210.0,1662517142.0
2017-12-05 00:00:00,11210.0,11685.5,10856.0,11682.0,1539285527.0
2017-12-06 00:00:00,11682.0,11961.0,11451.0,11726.0,1165153246.0
2017-12-07 00:00:00,11726.0,13890.5,11724.0,13682.0,2181553335.0
2017-12-08 00:00:00,13682.0,17750.0,13323.5,17427.0,3745748309.0
2017-12-09 00:00:00,17427.0,17719.5,13889.5,16272.0,2976200225.0
2017-12-10 00:00:00,16272.0,16600.0,13225.0,14984.5,1858006738.0
2017-12-11 00:00:00,14984.5,16149.0,13218.0,15143.0,2334949262.0
2017-12-12 00:00:00,15143.0,17742.5,15102.0,17009.0,1661016866.0
2017-12-13 00:00:00,17009.0,18067.0,16200.0,17236.0,1618633765.0
2017-12-14 00:00:00,17236.0,17561.0,15855.0,16436.5,1740697543.0
2017-12-15 00:00:00,16436.5,17145.0,16103.0,16651.0,1046084323.0
2017-12-16 00:00:00,16651.0,18296.5,16615.5,17700.0,1508093617.0
2017-12-17 00:00:00,17700.0,19840.0,17476.5,19547.5,1425811474.0
2017-12-18 00:00:00,19547.5,20093.0,18737.5,19287.5,1816963445.0
2017-12-19 00:00:00,19287.5,19384.0,18032.5,19127.0,1806717297.0
2017-12-20 00:00:00,19127.0,19346.0,16804.5,17663.0,1864278438.0
